kule
t	x	y
0.000	-1.815E-2	0.413
0.033	-1.567E-2	0.412
0.067	-9.054E-3	0.408
0.100	1.383E-3	0.401
0.133	1.442E-2	0.393
0.167	3.157E-2	0.383
0.200	5.248E-2	0.371
0.234	7.620E-2	0.358
0.267	0.104	0.344
0.300	0.136	0.330
0.334	0.171	0.319
0.367	0.209	0.309
0.400	0.250	0.303
0.434	0.290	0.299
0.467	0.332	0.297
0.500	0.374	0.295
0.534	0.416	0.290
0.567	0.459	0.284
0.601	0.503	0.275
0.634	0.548	0.264
0.667	0.592	0.246
0.701	0.639	0.223
0.734	0.688	0.196
0.767	0.740	0.168
0.801	0.797	0.142
0.834	0.861	0.124
0.868	0.926	0.120
0.901	0.990	0.133
0.934	1.049	0.157
0.968	1.103	0.182
1.001	1.153	0.203
1.034	1.205	0.215
1.068	1.256	0.222
1.101	1.307	0.225
1.134	1.357	0.227
1.168	1.407	0.226
