mass_A
t	x	y
0.000	-2.125E-2	0.414
0.033	-1.812E-2	0.414
0.067	-1.104E-2	0.412
0.100	-3.886E-4	0.403
0.133	1.047E-2	0.393
0.167	2.654E-2	0.383
0.200	4.571E-2	0.374
0.234	6.763E-2	0.362
0.267	9.370E-2	0.350
0.300	0.123	0.336
0.334	0.155	0.324
0.367	0.192	0.314
0.400	0.229	0.305
0.434	0.269	0.300
0.467	0.309	0.297
0.501	0.350	0.295
0.534	0.391	0.291
0.567	0.432	0.287
0.601	0.475	0.281
0.634	0.517	0.273
0.667	0.561	0.259
0.701	0.605	0.239
0.734	0.652	0.216
0.767	0.699	0.189
0.801	0.751	0.161
0.834	0.808	0.137
0.868	0.869	0.121
0.901	0.934	0.119
0.934	0.996	0.133
0.968	1.053	0.155
1.001	1.102	0.184
1.034	1.152	0.204
1.068	1.201	0.217
1.101	1.250	0.225
1.134	1.299	0.229
1.168	1.348	0.231
