kule
t	x	y
0.000	-1.750E-2	0.412
0.033	-1.270E-2	0.410
0.067	-3.614E-3	0.403
0.100	8.505E-3	0.396
0.133	2.428E-2	0.387
0.167	4.375E-2	0.375
0.200	6.621E-2	0.363
0.234	9.315E-2	0.349
0.267	0.123	0.335
0.300	0.157	0.322
0.334	0.194	0.312
0.367	0.234	0.304
0.400	0.275	0.300
0.434	0.316	0.297
0.467	0.358	0.294
0.500	0.401	0.291
0.534	0.444	0.286
0.567	0.487	0.279
0.601	0.532	0.268
0.634	0.577	0.254
0.667	0.623	0.231
0.701	0.671	0.206
0.734	0.722	0.177
0.767	0.765	9.181E-2
0.801	0.839	0.128
0.834	0.905	0.119
0.868	0.970	0.128
0.901	1.031	0.148
0.934	1.086	0.174
0.968	1.139	0.196
1.001	1.190	0.212
1.034	1.240	0.220
1.068	1.291	0.224
1.101	1.342	0.226
1.134	1.393	0.226
1.168	1.442	0.225
