kule
t	x	y
0.000	-1.879E-2	0.413
0.033	-1.445E-2	0.411
0.067	-4.528E-3	0.404
0.100	6.555E-3	0.397
0.133	2.236E-2	0.388
0.167	4.143E-2	0.377
0.200	6.417E-2	0.364
0.234	9.003E-2	0.350
0.267	0.120	0.337
0.300	0.154	0.323
0.334	0.192	0.312
0.367	0.231	0.304
0.400	0.272	0.299
0.434	0.313	0.297
0.467	0.356	0.294
0.501	0.398	0.291
0.534	0.441	0.286
0.567	0.485	0.279
0.601	0.530	0.268
0.634	0.575	0.255
0.667	0.622	0.231
0.701	0.671	0.205
0.734	0.721	0.177
0.767	0.776	0.150
0.801	0.838	0.128
0.834	0.904	0.118
0.868	0.970	0.127
0.901	1.030	0.146
0.934	1.085	0.172
0.968	1.137	0.195
1.001	1.189	0.210
1.034	1.241	0.218
1.068	1.293	0.222
1.101	1.344	0.224
1.134	1.395	0.224
1.168	1.445	0.223
