kule
t	x	y
0.000	-1.931E-2	0.412
0.033	-1.666E-2	0.411
0.067	-8.731E-3	0.406
0.100	1.595E-3	0.400
0.133	1.530E-2	0.391
0.167	3.247E-2	0.381
0.200	5.347E-2	0.370
0.234	7.757E-2	0.357
0.267	0.106	0.343
0.300	0.138	0.329
0.334	0.173	0.318
0.367	0.212	0.308
0.400	0.252	0.302
0.434	0.294	0.298
0.467	0.336	0.296
0.500	0.379	0.294
0.534	0.421	0.289
0.567	0.464	0.283
0.601	0.509	0.274
0.634	0.554	0.261
0.667	0.600	0.242
0.701	0.648	0.218
0.734	0.697	0.190
0.767	0.751	0.162
0.801	0.810	0.136
0.834	0.874	0.121
0.868	0.942	0.120
0.901	1.005	0.137
0.934	1.062	0.161
0.968	1.116	0.186
1.001	1.167	0.208
1.034	1.220	0.215
1.068	1.272	0.221
1.101	1.323	0.224
1.134	1.376	0.227
1.168	1.427	0.224
