kule
t	x	y
0.000	-2.318E-2	0.415
0.033	-1.950E-2	0.413
0.067	-1.124E-2	0.408
0.100	-3.375E-5	0.402
0.133	1.419E-2	0.394
0.167	3.208E-2	0.383
0.200	5.389E-2	0.371
0.234	7.903E-2	0.357
0.267	0.107	0.343
0.300	0.140	0.329
0.334	0.174	0.318
0.367	0.214	0.307
0.400	0.255	0.302
0.434	0.297	0.299
0.467	0.340	0.296
0.500	0.383	0.294
0.534	0.426	0.289
0.567	0.470	0.282
0.601	0.514	0.273
0.634	0.560	0.258
0.667	0.607	0.239
0.701	0.655	0.215
0.734	0.705	0.186
0.767	0.759	0.158
0.801	0.818	0.134
0.834	0.884	0.120
0.868	0.950	0.123
0.901	1.012	0.140
0.934	1.069	0.166
0.968	1.122	0.190
1.001	1.175	0.208
1.034	1.228	0.218
1.068	1.279	0.223
1.101	1.331	0.225
1.134	1.384	0.227
1.168	1.435	0.226
