mass_A
t	x	y
0.000	-1.963E-2	0.414
0.033	-1.854E-2	0.413
0.067	-1.401E-2	0.412
0.100	-5.625E-3	0.410
0.133	6.525E-3	0.395
0.167	2.149E-2	0.386
0.200	4.035E-2	0.376
0.234	6.252E-2	0.365
0.267	8.880E-2	0.354
0.300	0.118	0.339
0.334	0.152	0.324
0.367	0.187	0.316
0.400	0.227	0.306
0.434	0.267	0.301
0.467	0.308	0.297
0.501	0.350	0.295
0.534	0.391	0.291
0.567	0.435	0.288
0.601	0.478	0.280
0.634	0.523	0.270
0.667	0.615	0.235
0.701	0.662	0.209
0.734	0.714	0.182
0.767	0.769	0.154
0.801	0.829	0.129
0.834	0.895	0.119
0.868	0.961	0.125
0.901	1.023	0.144
0.934	1.078	0.173
0.968	1.131	0.195
1.001	1.183	0.214
1.034	1.236	0.223
1.068	1.288	0.229
1.101	1.341	0.231
1.134	1.393	0.232
1.168	1.445	0.232
