kule
t	x	y
0.000	-1.738E-2	0.412
0.033	-1.181E-2	0.410
0.067	-1.507E-3	0.403
0.100	1.061E-2	0.395
0.133	2.707E-2	0.386
0.167	4.680E-2	0.374
0.200	7.006E-2	0.362
0.234	9.715E-2	0.348
0.267	0.128	0.334
0.300	0.162	0.321
0.334	0.199	0.311
0.367	0.239	0.303
0.400	0.281	0.299
0.434	0.322	0.296
0.467	0.364	0.294
0.501	0.408	0.291
0.534	0.450	0.285
0.567	0.495	0.277
0.601	0.539	0.265
0.634	0.587	0.249
0.667	0.633	0.226
0.701	0.681	0.200
0.734	0.734	0.171
0.767	0.790	0.144
0.801	0.853	0.124
0.834	0.920	0.119
0.868	0.985	0.130
0.901	1.044	0.153
0.934	1.099	0.179
0.968	1.152	0.200
1.001	1.205	0.213
1.034	1.257	0.220
1.068	1.309	0.224
1.101	1.360	0.227
1.134	1.412	0.224
